Class_in,Ethnic Marker,OCWhite,OCBlack,OCAIAN,OCChinese,OCFilipino,OCAsianIndian,OCVietnamese,OCKorean,OCJapanese,OCNatHaw,OCSamoan,OCChamorro,OCOPI,OCOther,OtherRace,PCWhite,PCLatino,PCBlack,PCAsian,PCAIAN,PCMENA,PCNHPI,StreetRace,LatinoIdentity,Other_LatIdentity,Crime_LI,Crime_I,Finance,Physical,Mental,Sleep,Tasks,Relationships,Discrim_Latino,Discrim_Black,Discrim_White,Discrim_Imm,Trump,Biden,Harris,Vance,AOC,Desantis,Newsom,Sanders,MTG,SCOTUS,Congress,CGA,MAGA,Democrat,Republican,American,Personal
1,2,1,,,,,,,,,,,,,,,,,,,,,,2,10,,,2,,3,3,3,3,3,1,,,1,80,0,0,80,0,100,0,0,37,87,62,0,96,0,91,1,5
1,,,,,,,,,,,,,,,,,,,,1,,,,4,1,,3,,3,2,1,2,2,3,3,,,4,12,67,76,45,,63,69,97,,66,31,,7,42,35,5,2
1,1,1,1,,1,,,,,,,,,,,,,,,,,,,3,1,,,5,4,1,1,2,2,2,,4,,5,0,40,50,10,,35,40,55,20,35,10,,0,45,30,4,2
2,,,,,,,,,,,,,,,,,,,,1,,,,4,1,,5,,2,1,1,1,2,3,5,,,4,0,70,70,0,80,0,80,85,20,0,0,55,0,55,0,2,5
1,3,,,,,,,,,,,,,,1,I am hispanic/latina (Peruvian),,,,,,,,2,11,,2,,3,2,2,2,2,2,,,2,5,60,30,0,20,,10,0,60,19,80,80,40,40,35,65,3,3
2,,,,,,,,,,,,,,,,,,1,,,,,,2,6,,,5,3,1,1,1,1,1,5,,,4,0,55,60,0,85,0,51,80,0,25,30,80,0,30,10,2,4
1,,,,,,,,,,,,,,,,,,,,,,1,,2,1,,,5,2,2,2,2,2,2,,4,,5,0,70,70,,,,80,,,,,,,,,3,3
1,,,,,,,,,,,,,,,,,,1,,,,,,2,4,,4,,1,1,1,1,1,1,,,3,4,0,50,81,37,100,50,100,100,50,20,50,50,0,50,50,2,4
1,1,,,,1,,,,,,,,,,,,,,,,,,,4,1,,,3,3,2,2,2,2,2,3,,,3,,,,,,,,,50,,,,,,,3,3
1,1,1,,,,,,,,,,,,,,,,,,,,,,1,1,,5,,2,2,1,2,2,2,,3,,5,0,0,0,0,5,0,0,10,0,0,0,,0,0,0,3,4
1,,,,,,,,,,,,,,,,,,,1,,,,,3,1,,5,,2,1,1,1,1,2,,,1,5,13,,,14,,11,,60,14,,,,0,,,2,3
1,2,,1,,,,,,,,,,,,1,Mexican ,,,,,,,,3,10,,5,,2,2,1,2,2,3,,,2,4,0,50,80,15,90,10,70,90,0,50,30,60,0,70,25,2,4
2,,,,,,,,,,,,,,,,,,1,,,,,,2,6,,,5,1,1,1,1,2,2,5,,,5,0,,91,0,,,94,100,,32,26,53,0,71,0,5,4
1,,,,,,,,,,,,,,,,,,1,,,,,,2,4,,5,,4,1,1,1,2,2,,,2,4,0,,74,0,,,,,,70,,,0,,11,3,2
2,,,,,,,,,,,,,,,,,1,1,,,,,,1,13,I have South American ancestry from my mother's side which originates from Spain.,4,,3,2,2,2,2,2,,,2,4,34,46,53,40,48,38,46,54,15,42,31,45,32,51,38,2,3
1,1,,,,,,1,,,,,,,,,,,,,,,,,4,1,,,3,4,3,2,2,1,3,3,,,3,25,50,35,35,40,35,55,75,40,60,45,,15,50,35,2,3
1,3,,,,,,,,,,,,,,1,hispanic,,,,,,,,2,6,,,5,2,1,1,1,1,2,,,1,5,0,77,95,0,46,25,79,100,14,0,11,43,0,77,0,4,3
1,,,,,,,,,,,,,,,,,,1,,,,,,2,10,,,5,1,1,1,1,1,1,5,,,5,0,80,100,0,80,0,100,80,0,,,100,0,100,0,1,2
1,2,,,,,,,,,,,,,,1,Hispanic/Latino,,,,,,,,2,10,,,5,2,2,1,2,2,3,,,2,5,0,32,69,0,100,0,57,87,0,43,38,,0,47,0,3,5
1,2,,,,,,,,,,,,,,1,European/Native American,,,,,,,,1,10,,,5,2,2,1,2,2,2,,5,,5,7,,70,10,100,50,90,70,50,50,55,60,20,70,30,2,4
1,1,,,,1,,,,,,,,,,,,,,,,,,,4,1,,,5,5,3,1,2,2,2,4,,,4,0,75,35,5,80,0,20,100,0,36,20,75,0,85,10,1,5
1,,,,,,,,,,,,,,,,,,,,1,,,,4,1,,,3,2,2,2,1,2,2,,5,,5,0,0,0,0,,27,74,23,25,53,14,47,0,85,0,2,3
1,2,1,,,,,,,,,,,,,,,,,,,,,,2,9,,,5,2,2,1,2,2,2,5,,,5,0,71,85,0,85,0,75,80,8,30,,,0,75,25,3,4
1,2,,,,,,,,,,,,,,1,Hispanic,,,,,,,,2,5,,5,,2,2,1,1,2,2,,4,,4,8,59,69,11,73,5,52,89,3,32,44,51,5,56,8,2,4
1,,,,,,,,,,,,,,,,,1,,,,,,,1,1,,,5,3,2,1,2,2,1,5,,,5,0,66,85,0,90,0,75,89,5,25,25,50,0,40,10,3,5
1,1,,,,,,1,,,,,,,,,,,,,,,,,2,1,,,5,3,2,1,1,1,2,,,2,5,9,75,89,15,93,44,70,95,22,38,51,65,1,71,29,2,3
1,,,,,,,,,,,,,,,,,,1,,,,,,2,10,,5,,2,2,1,2,1,2,,5,,5,11,29,,16,71,21,66,83,,30,31,47,7,43,21,2,3
1,1,,,,,1,,,,,,,,,,,,,,,,,,2,1,,,4,4,3,2,2,2,2,,,5,5,45,51,70,60,50,50,60,50,50,50,45,51,30,55,45,2,4
2,,,,,,,,,,,,,,,,,,1,,,,,,2,9,,3,,2,2,2,2,2,2,5,,,5,0,95,95,0,100,50,97,50,50,50,50,50,0,95,0,3,3
1,3,1,,,,,,,,,,,,,1,Mixed Race (White and Peruvian Indigenous),,,,,,,,2,4,,5,,2,2,1,2,2,2,,,1,4,0,80,90,24,84,3,80,88,5,24,20,50,0,70,0,2,5
2,,,,,,,,,,,,,,,,,,1,,,,,,2,2,,4,,4,1,1,1,1,3,,4,,5,3,50,69,21,82,50,80,80,50,48,50,50,0,70,35,,3
1,,,,,,,,,,,,,,,,,,1,,,,,,2,4,,5,,2,2,1,1,1,2,,,2,5,0,75,88,0,100,0,93,87,22,43,48,54,0,81,23,3,3
1,1,1,,,,,,,,,,,,,1,Kazakh,,,,,,,,4,1,,,5,3,2,1,1,2,2,,,1,5,0,65,72,0,70,0,62,92,35,31,24,36,0,47,17,2,4
1,1,1,,,,,,,,,,,,,,,,,,,,,,1,13,White ,5,,2,2,1,1,2,1,,5,,4,0,90,100,0,100,44,97,100,0,28,36,39,0,100,0,2,3
2,2,,,,,,,,,,,,,,1,Mexican ,,,,,,,,2,10,,5,,2,1,1,1,2,2,,,1,5,0,96,90,0,83,0,92,63,0,18,9,27,0,95,0,3,5
1,,,,,,,,,,,,,,,,,1,,,,1,,,1,1,,3,,3,2,2,2,2,2,,3,,,,,,,,,0,7,,,,,24,22,24,2,3
2,,,,,,,,,,,,,,,,,,1,,,,,,2,10,,,5,2,2,1,1,2,1,,,1,5,0,80,91,0,94,0,80,95,0,30,41,43,0,75,0,2,5
1,1,,,,1,,,1,,,,,,,,,,,,,,,,4,1,,4,,3,2,1,1,2,2,,,2,5,0,70,75,0,82,7,82,,42,21,11,96,0,100,8,2,3
2,,,,,,,,,,,,,,,,,1,1,,,,,,1,4,,5,,3,2,1,2,2,3,,5,,5,0,60,75,0,70,0,60,80,0,20,30,65,1,75,50,2,3
1,,,,,,,,,,,,,,,,,1,1,,,,,,1,10,,5,,2,3,2,3,2,3,3,,,4,75,40,5,70,20,35,0,15,60,50,45,52,35,30,40,1,3
1,,,,,,,,,,,,,,,,,,,,1,,,,4,1,,4,,1,2,2,2,2,2,,,2,4,11,73,79,13,65,14,78,66,13,45,72,74,17,84,,3,5
2,,,,,,,,,,,,,,,,,,1,,,,,,2,4,,,4,1,2,2,2,2,2,,5,,5,30,,80,23,,,60,50,,,,,51,,,2,
2,2,,,,,,,,,,,,,,1,Mexican,,,,,,,,2,10,,5,,4,2,2,2,2,2,5,,,5,7,,,1,83,76,92,90,77,,,,0,,0,3,4
1,2,,,,,,,,,,,,,,1,"Hispanic
",,,,,,,,2,6,,,5,1,2,1,1,2,3,,,1,4,0,62,12,0,100,0,,100,0,,,,0,70,40,2,3
1,1,1,,,,,,,,,,,,,,,,,,,,,,1,1,,,5,2,2,2,2,2,2,,4,,5,10,38,35,25,84,33,43,80,0,49,62,50,0,29,9,2,4
1,2,,,,,,,,,,,,,,1,"I wouldn’t say I’m “White” , because my skin is brown. Although Mexican/Latino isn’t a race , I am more Native looking than I am White. I would rather have the option of Mestizo. ",,,,,,,,2,12,,,5,2,2,1,1,2,3,,,3,5,0,40,80,0,100,0,94,95,0,33,43,95,0,79,51,2,5
1,1,1,,,,,,,,,,,,,,,,,,,,,,1,1,,,5,4,2,1,2,2,2,,,1,5,5,60,75,10,90,10,75,85,7,15,35,70,0,80,25,2,4
2,,,,,,,,,,,,,,,,,,,,1,,,,4,1,,,1,1,2,1,3,3,2,3,,,3,13,17,6,10,31,18,16,37,32,21,6,21,17,18,26,1,2
2,,,,,,,,,,,,,,,,,1,1,,,,,,1,13,Mixed (Dad is Salvadoran Mom is White),5,,3,2,1,1,2,2,4,,,4,0,44,47,0,71,0,22,56,0,39,,,0,68,27,4,3
1,,,,,,,,,,,,,,,,,,,,1,,,,4,11,,3,,3,1,1,1,1,1,,,3,3,29,,28,0,,,,,,10,14,,0,25,7,1,3
1,,,,,,,,,,,,,,,,,,,,1,,,,6,1,,,5,1,2,1,2,2,2,,4,,4,0,0,0,0,78,0,64,79,0,19,32,50,0,19,8,2,
1,1,,,,1,,,,,,,,,,,,,,,,,,,4,1,,3,,2,2,2,2,2,2,,4,,4,40,75,70,15,60,30,80,75,0,25,30,,0,,50,2,4
2,,,,,,,,,,,,,,,,,,1,,,,,,2,10,,,5,2,2,1,2,2,3,5,,,4,0,40,73,13,77,40,38,69,59,10,34,59,0,52,24,2,4
2,,,,,,,,,,,,,,,,,,1,,,,,,1,10,,,4,2,2,1,1,2,2,4,,,4,20,70,70,0,50,30,80,80,,35,20,50,0,,7,4,3
1,,,,,,,,,,,,,,,,,,,,1,,,,4,1,,5,,4,2,2,2,2,2,,,2,2,0,31,31,16,,21,40,60,0,39,28,50,0,31,16,1,2
1,2,,,,,,,,,,,,,,1,Hispanic,,,,,,,,2,3,,5,,1,2,1,2,2,2,,,3,5,0,40,40,0,,,,70,,40,40,,0,,,2,3
2,,,,,,,,,,,,,,,,,1,,,,,,,1,1,,5,,3,2,1,1,2,3,,4,,5,0,75,75,0,44,40,70,80,50,31,31,,0,60,16,2,3
2,,,,,,,,,,,,,,,,,,1,,,,,,2,10,,5,,2,1,1,1,1,1,,5,,5,0,0,2,0,50,0,4,30,0,0,0,15,0,0,0,2,4
1,1,,,,1,,,,,,,,,,,,,,,,,,,4,1,,3,,3,2,2,2,2,2,,,1,3,,,30,15,,,30,,,40,,,35,,,3,2
1,1,1,,,,,,,,,,,,,,,,,,,,,,1,1,,,5,2,2,1,2,1,2,,,1,4,0,30,30,0,60,0,60,75,6,35,40,,0,40,6,2,3
2,1,1,,,,,,,,,,,,,,,,,,,,,,1,1,,,5,3,,,2,,,2,,,3,38,52,48,38,55,40,42,51,51,42,51,50,28,53,48,3,3
1,,,,,,,,,,,,,,,,,,,,,,1,,4,1,,5,,1,1,2,2,2,2,4,,,5,40,55,40,45,45,35,45,60,40,60,30,35,21,39,40,3,3
1,2,,,,,,,,,,,,,,1,,,,,,,,,2,3,,5,,5,2,2,2,2,2,4,,,4,10,,31,12,,11,19,8,16,,,73,14,,74,1,3
3,3,,,,,,,,,,,,,,1,Puerto Rican and Peruvian,,,,,,,,2,13,"Latino, Hispanic, and country of origin",,5,2,2,2,2,2,2,,5,,5,0,0,0,0,10,0,40,80,0,15,25,30,0,0,0,3,2
1,2,,,,,,,,,,,,,,1,Mexican ,,,,,,,,2,10,,5,,2,1,1,1,1,2,,,2,5,0,100,100,0,100,0,100,100,0,100,100,100,0,68,0,4,2
1,3,1,,,,,,,,,,,,,,,,,,,,,,1,6,,,5,3,2,1,1,1,1,,5,,5,0,85,92,0,100,0,67,100,0,0,43,,0,82,0,2,4
1,2,,,,,,,,,,,,,,1,,,,,,,,,2,4,,5,,2,2,1,1,1,1,5,,,5,0,81,100,2,100,0,38,100,0,15,,,0,96,0,3,5
1,,,,,,,,,,,,,,,,,,,,1,,,,4,1,,1,,1,3,3,3,3,3,,2,,2,100,0,0,100,5,100,0,0,85,91,77,19,91,0,100,3,5
1,,,,,,,,,,,,,,,,,,,,1,,,,4,1,,5,,5,2,1,1,1,3,5,,,5,0,86,100,0,90,,70,77,0,,,,0,100,0,3,2
1,,,,,,,,,,,,,,,,,1,,,1,,,,1,1,,5,,2,2,2,2,2,2,3,,,4,10,40,25,35,50,10,55,70,15,0,60,60,40,40,30,2,4
1,2,,,,,,,,,,,,,,1,Indigenous Mexican,,,,,,,,2,10,,5,,1,2,2,2,2,3,4,,,4,3,40,44,8,,0,53,82,7,46,35,48,0,55,12,2,4
1,,,,,,,,,,,,,,,,,,1,,,,,,1,4,,4,,4,2,2,2,2,2,,3,,4,17,68,61,13,57,,57,53,60,53,63,52,20,54,55,3,4
1,2,,,,,,,,,,,,,,1,"brown/native american
",,,,,,,,2,3,,,5,3,2,1,1,1,2,,5,,5,0,70,100,0,100,5,73,100,11,40,59,75,0,69,29,3,5
1,,,,,,,,,,,,,,,,,1,,,,,,,1,1,,,5,2,2,1,1,1,1,,,1,5,0,15,25,0,60,0,50,60,0,0,20,,0,0,0,2,5
1,,,,,,,,,,,,,,,,,,,,1,,,,2,13,Filipino,3,,2,2,2,2,2,2,,1,,1,,,,,,,,,,,,,,,,2,5
1,,,,,,,,,,,,,,,,,,,,1,,,,4,1,,,2,4,2,2,2,2,2,,3,,4,10,,,,,10,90,,,,,80,10,,20,5,2
1,1,1,,,,,,,,,,,,,,,,,,,,,,1,1,,4,,3,2,2,2,2,2,,,1,5,0,70,70,0,75,5,75,74,5,60,60,60,0,70,5,2,4
1,,,,,,,,,,,,,,,,,,,,1,,,,6,1,,5,,2,2,1,1,2,2,4,,,5,0,12,15,14,60,26,23,83,10,37,23,41,0,43,25,3,4
1,1,1,,,,,,,,,,,,,,,,,,,,,,1,1,,,5,4,2,1,1,1,1,5,,,5,0,26,38,5,81,0,29,79,61,11,28,42,0,14,0,2,3
1,1,,,,,,1,,,,,,,,,,,,,,,,,1,1,,5,,2,2,2,2,2,2,,4,,4,7,30,40,10,60,34,65,65,29,34,40,35,4,30,10,2,4
1,1,1,,,,,,,,,,,,,,,,,,,,,,1,1,,,4,3,2,2,2,2,2,,,1,4,41,75,67,23,,,83,86,,58,53,51,47,60,48,3,2
1,1,,,,,,,1,,,,,,,,,,,,,,,,4,1,,,4,2,2,2,2,2,2,,,1,3,64,21,19,39,0,85,23,13,41,65,63,7,35,2,86,2,5
1,1,1,,,,,,,,,,,,,,,,,,,,,,1,1,,4,,3,2,1,2,2,2,,4,,5,6,60,70,0,66,10,70,57,,36,34,,7,69,21,2,3
1,,,,,,,,,,,,,,,,,,,,1,,,,4,1,,5,,2,2,2,2,3,3,3,,,3,0,70,0,0,0,0,0,80,0,,,,0,,0,2,4
1,1,1,,,,,,,,,,,,,,,,,,,,,,1,,,,5,4,1,1,1,2,1,5,,,5,0,30,60,0,81,0,40,80,0,5,28,,0,30,5,3,5
1,,,,,,,,,,,,,,,,,,1,,,,,,2,4,,,5,1,2,1,1,2,1,5,,,5,0,75,90,0,85,0,90,100,0,40,30,50,0,40,0,3,4
1,2,1,,,,,,,,,,,,,,,,,,,,,,2,10,,,5,1,3,3,3,3,3,,,3,5,100,0,0,0,0,62,0,61,0,19,0,0,24,70,22,1,2
1,2,1,,,,,,,,,,,,,,,,,,,,,,2,3,,,5,3,2,2,2,2,2,,2,,3,10,29,,8,,,61,,,,,,9,83,30,3,2
1,,,,,,,,,,,,,,,,,,1,,,,,,5,10,,,5,1,2,1,1,1,2,,5,,5,0,70,90,0,95,0,80,100,0,20,20,30,0,100,0,2,3
3,2,1,,,,,,,,,,,,,1,"I never really know how to answer as a 1st gen, Mexican-American",,,,,,,,2,10,,4,,2,1,1,1,1,3,,,2,5,0,65,75,0,74,40,74,78,57,41,53,54,0,58,21,3,4
1,,,,,,,,,,,,,,,,,,,,1,,,,4,1,,,5,5,2,1,2,2,2,,,1,4,2,5,3,2,75,2,5,80,1,4,3,21,1,4,1,1,4
1,3,1,,,,,,,,,,,,,,,,,,,,,,1,11,,,5,2,2,1,1,2,2,,,2,4,0,5,10,0,80,0,15,90,0,5,10,30,0,30,0,2,5
1,,,,,,,,,,,,,,,,,,1,,,,,,2,8,,5,,2,1,1,1,1,2,,,2,4,0,13,17,1,0,0,60,20,0,38,18,78,0,0,0,4,1
1,,,,,,,,,,,,,,,,,1,,,,,1,,1,1,,,3,4,2,2,2,2,2,,,2,3,45,35,35,50,5,40,35,5,0,,,,40,40,70,2,3
1,,,,,,,,,,,,,,,,,,,1,,,,,3,1,,5,,3,2,1,1,2,3,5,,,5,0,,,0,0,0,0,69,0,26,10,,0,,0,3,4
1,2,,,,,,,,,,,,,,1,Latino/a,,,,,,,,2,10,,5,,1,2,2,2,2,2,,5,,5,0,70,75,0,90,0,80,85,10,40,40,70,0,80,20,2,3
1,,,,,,,,,,,,,,,,,,1,,,,,,2,9,,,5,1,2,1,2,,1,5,,,5,0,65,75,0,85,0,80,100,0,50,,60,0,70,0,3,4
1,,,,,,,,,,,,,,,,,,1,,,,,1,3,6,,,5,4,2,1,1,2,2,,4,,5,5,34,34,3,25,0,67,33,39,24,0,42,0,32,0,2,3
1,1,1,,,,,,,,,,,,,,,,,,,,,,1,1,,5,,3,2,1,1,2,2,,,1,5,0,48,65,1,68,14,,64,14,,,,0,52,29,2,3
1,1,,,,1,,,,,,,,,,,,,,,,,,,4,1,,,3,2,2,2,2,2,2,2,,,3,,,,,,,,,,,,,,,,2,1
1,1,,,,,,1,,,,,,,,,,,,,,,,,4,1,,3,,3,2,2,1,2,2,3,,,4,21,19,20,20,12,21,40,31,9,23,21,42,0,10,10,3,3
1,,,,,,,,,,,,,,,,,,1,,,,,,1,3,,,4,2,3,1,2,2,3,5,,,5,0,90,90,0,100,0,100,100,0,0,0,85,0,75,0,2,4
1,1,1,,,,,,,,,,,,,,,,,,,,,,1,1,,,5,3,2,1,1,2,1,,2,,4,0,97,92,0,96,0,100,71,0,10,18,88,0,84,7,3,4
1,1,1,,,,,,,,,,,,1,,Taiwanese,,,,,,,,1,1,,5,,1,2,2,2,2,2,,,2,5,2,65,65,1,50,10,60,84,13,50,50,50,2,65,49,2,3
1,1,,,,,,,,,,,,,,1,Southeast Asian/ Asian,,,,,,,,4,1,,4,,,2,2,2,2,2,,,,,23,60,59,19,49,45,71,50,49,35,43,,30,54,,3,3
1,,,,,,,,,,,,,,,,,,,1,,,,,3,1,,4,,2,2,2,2,2,2,5,,,5,0,19,50,0,40,0,50,37,39,25,35,41,0,50,10,4,3
1,1,,,,,,,1,,,,,,,,,,,,,,,,4,1,,,4,5,2,2,2,2,2,3,,,4,30,80,65,55,50,70,70,55,,80,65,66,35,75,70,3,5
2,2,,,,,,,,,,,,,,1,Mexican-American ,,,,,,,,2,4,,5,,2,2,1,2,2,3,4,,,5,0,56,70,2,87,0,53,83,0,,,,10,,18,3,4
1,,,,,,,,,,,,,,,,,1,,,1,,,,2,1,,3,,2,1,1,1,1,2,,,2,5,92,,,92,,83,73,,90,,,,100,,78,2,3
1,,,,,,,,,,,,,,,,,1,,,,,,,1,1,,,5,3,2,1,1,2,2,5,,,5,0,60,60,0,87,0,,87,0,8,,,0,70,0,3,3
1,1,,,,1,,,,,,,,,,,,,,,,,,,4,1,,,4,4,2,2,3,2,2,3,,,3,10,51,40,40,40,11,45,11,30,11,16,43,0,42,8,3,2
1,1,,,,1,,,,,,,,,,,,,,,,,,,4,1,,,3,1,2,3,2,2,2,,,3,3,60,50,10,20,,40,,50,70,80,30,,,20,30,2,4
1,,,,,,,,,,,,,,,,,1,1,,,,,,1,4,,5,,3,2,1,2,2,1,,4,,4,10,60,80,15,75,5,70,90,10,45,40,70,0,80,20,3,4
1,1,1,,,,,,,,,,,,,,,,,,,,,,1,1,,,5,4,2,1,2,2,1,,4,,4,0,74,84,15,79,27,87,70,12,36,,,0,60,7,3,3
1,2,1,,,,,,,,,,,,,1,"I am mixed race, white on my father's side, mexican on my mother's side.",,,,,,,,1,10,,5,,3,2,1,2,2,2,5,,,5,0,40,62,0,58,0,56,67,0,35,54,58,0,63,10,2,5
2,3,,,,,,,,,,,,,,1,Hispanic,,,,,,,,2,3,,,4,1,2,2,2,2,3,,,3,3,,,30,,30,30,50,,30,20,40,,30,40,40,3,4
1,,,,,,,,,,,,,,,,,1,,,1,,,,4,1,,4,,2,2,2,2,2,2,,2,,3,5,66,50,0,70,15,80,100,0,34,25,70,0,65,20,2,3
1,,,,,,,,,,,,,,,,,,,,1,,,,6,1,,,4,1,1,1,2,2,1,,,2,5,0,85,85,10,90,10,68,75,0,30,50,80,0,75,20,2,4
1,,,,,,,,,,,,,,,,,,1,,,,,,2,3,,,4,2,3,1,2,2,2,,,3,4,45,70,86,45,45,31,74,24,80,92,70,51,17,77,77,3,2
1,2,,,,,,,,,,,,,,1,"Chicana, latina",,,,,,,,2,9,,5,,2,1,1,1,1,1,,,2,5,0,50,91,0,,,,,,,,,,,,3,2
2,,,,,,,,,,,,,,,,,,1,,,,,,2,4,,,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,,,,,,,,1,,,,,,,,,,,,,,,4,1,,,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,1,,,,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,1,,,,,,2,10,,5,,2,2,3,2,2,3,,4,,4,,,,,,,,,,,,,,,,,
1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,1,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,1,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,1,,,,,,2,5,,5,,2,2,1,2,2,2,,,3,5,10,60,40,10,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,1,,,,,,2,9,,4,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,1,,,,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,1,,,,,,,1,1,,,5,3,1,1,1,1,2,,5,,5,0,60,60,0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,1,,,1,,,,1,1,,,4,3,2,1,2,2,2,,,1,5,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,1,,,,4,1,,4,,4,2,2,2,1,2,4,,,4,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,1,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,