Date,Total_detained,Convicted_criminal,Pending_criminal,Non_criminal,Proportion_convicted,Proportion_pending,Proportion_noncriminal,President
6/29/25,"57,861","16,366","14,318","27,177",0.28,0.25,0.47,Trump2
6/15/25,"56,397","15,964","14,263","26,170",0.28,0.25,0.46,Trump2
6/1/25,"51,302","15,193","13,671","22,438",0.30,0.27,0.44,Trump2
5/18/25,"48,870","14,909","12,920","21,041",0.31,0.26,0.43,Trump2
5/4/25,"49,005","15,025","12,730","21,250",0.31,0.26,0.43,Trump2
4/20/25,"49,184","15,190","11,997","21,997",0.31,0.24,0.45,Trump2
4/6/25,"47,928","14,614","11,065","22,249",0.30,0.23,0.46,Trump2
3/23/25,"47,892","14,369","10,509","23,014",0.3,0.22,0.48,Trump2
3/9/25,"46,269","13,751","9,437","23,081",0.3,0.2,0.5,Trump2
2/23/25,"43,759","12,804","8,158","22,797",0.29,0.19,0.52,Trump2
2/9/25,"41,169","11,917","6,714","22,538",0.29,0.16,0.55,Trump2
1/26/25,"39,238","10,703","5,429","23,106",0.27,0.14,0.59,Trump2
1/12/25,"39,703","10,494","5,360","23,849",0.26,0.14,0.6,Biden
12/29/24,"39,152","10,278","5,271","23,603",0.26,0.13,0.6,Biden
12/15/24,"38,406","10,355","5,204","22,847",0.27,0.14,0.59,Biden
12/1/24,"38,728","10,283","5,084","23,361",0.27,0.13,0.6,Biden
11/3/24,"38,863","10,308","4,967","23,588",0.27,0.13,0.61,Biden
9/8/24,"37,395","10,050","4,874","22,471",0.27,0.13,0.6,Biden
8/25/24,"36,223","10,078","4,818","21,327",0.28,0.13,0.59,Biden
8/11/24,"36,326","10,142","4,752","21,432",0.28,0.13,0.59,Biden
7/14/24,"37,004","10,380","4,605","22,019",0.28,0.12,0.6,Biden
6/30/24,"37,509","10,053","4,459","22,997",0.27,0.12,0.61,Biden
6/16/24,"38,525","10,158","4,452","23,915",0.26,0.12,0.62,Biden
6/2/24,"37,360","9,803","4,311","23,246",0.26,0.12,0.62,Biden
5/19/24,"36,571","9,748","4,303","22,520",0.27,0.12,0.62,Biden
5/5/24,"36,603","9,882","4,146","22,575",0.27,0.11,0.62,Biden
4/21/24,"34,373","9,560","3,961","20,852",0.28,0.12,0.61,Biden
4/7/24,"34,580","9,549","3,830","21,201",0.28,0.11,0.61,Biden
3/24/24,"36,931","9,465","3,721","23,745",0.26,0.1,0.64,Biden
3/10/24,"39,111","9,285","3,646","26,180",0.24,0.09,0.67,Biden
2/25/24,"39,175","9,288","3,548","26,339",0.24,0.09,0.67,Biden
2/25/24,"39,175","9,288","3,548","26,339",0.24,0.09,0.67,Biden
2/11/24,"38,258","9,319","3,468","25,471",0.24,0.09,0.67,Biden
1/28/24,"38,498","9,114","3,412","25,972",0.24,0.09,0.67,Biden
1/13/24,"37,782","9,005","3,355","25,422",0.24,0.09,0.67,Biden
12/31/23,"37,131","9,003","3,332","24,796",0.24,0.09,0.67,Biden
12/17/23,"36,263","8,936","3,115","24,212",0.25,0.09,0.67,Biden
12/3/23,"36,755","8,838","3,074","24,843",0.24,0.08,0.68,Biden
11/19/23,"39,013","8,682","2,979","27,352",0.22,0.08,0.70,Biden
11/5/23,"39,748","8,426","3,008","28,314",0.21,0.08,0.71,Biden
10/3/23,"36,845","8,198","3,013","25,634",0.22,0.08,0.70,Biden
9/24/23,"35,289","8,074","2,966","24,249",0.23,0.08,0.69,Biden
9/10/23,"35,589","8,012","2,942","24,635",0.23,0.08,0.69,Biden
8/27/23,"32,743","8,105","2,994","21,644",0.25,0.09,0.66,Biden
8/13/23,"30,184","8,238","3,121","18,825",0.27,0.10,0.62,Biden
7/30/23,"30,438","8,422","3,325","18,691",0.28,0.11,0.61,Biden
7/16/23,"31,064","8,504","3,230","19,330",0.27,0.10,0.62,Biden
7/2/23,"30,003","8,032","3,022","18,949",0.27,0.10,0.63,Biden
6/18/23,"29,613","8,014","2,913","18,686",0.27,0.10,0.63,Biden
6/4/23,"29,914","7,839","2,751","19,324",0.26,0.09,0.65,Biden
5/21/23,"27,330","7,932","2,693","16,705",0.29,0.10,0.61,Biden
5/7/23,"21,293","7,840","2,509","10,944",0.37,0.12,0.51,Biden
4/23/23,"24,944","8,123","2,667","14,154",0.33,0.11,0.57,Biden
4/9/23,"25,753","8,289","2,580","14,884",0.32,0.10,0.58,Biden
3/26/23,"26,898","8,050","2,563","16,285",0.30,0.10,0.61,Biden
3/12/23,"27,723","7,952","2,579","17,192",0.29,0.09,0.62,Biden
2/26/23,"27,010","7,656","2,515","16,839",0.28,0.09,0.62,Biden
2/12/23,"26,410","7,281","2,434","16,695",0.28,0.09,0.63,Biden
1/29/23,"24,170","7,147","2,291","14,732",0.30,0.09,0.61,Biden
1/15/23,"20,892","7,010","2,172","11,710",0.34,0.10,0.56,Biden
1/1/23,"20,506","7,030","2,259","11,217",0.34,0.11,0.55,Biden
12/18/22,"23,060","7,041","2,301","13,718",0.31,0.10,0.59,Biden
12/4/22,"29,026","6,966","2,413","19,647",0.24,0.08,0.68,Biden
11/20/22,"30,001","6,886","2,385","20,730",0.23,0.08,0.69,Biden
10/31/22,"29,984","6,813","2,395","20,776",0.23,0.08,0.69,Biden
9/25/22,"25,134","6,430","2,040","16,664",0.26,0.08,0.66,Biden
9/10/22,"25,776","6,152","1,991","17,633",0.24,0.08,0.68,Biden
8/15/22,"24,127","5,903","1,778","16,446",0.24,0.07,0.68,Biden
7/31/22,"23,390","5,615","1,606","16,169",0.24,0.07,0.69,Biden
7/17/22,"22,886","5,550","1,538","15,798",0.24,0.07,0.69,Biden
7/5/22,"23,156","5,434","1,402","16,320",0.23,0.06,0.70,Biden
6/19/22,"23,390","5,505","1,343","16,542",0.24,0.06,0.71,Biden
6/5/22,"24,591","5,353","1,327","17,911",0.22,0.05,0.73,Biden
5/7/22,"22,281","5,021","1,226","16,034",0.23,0.06,0.72,Biden
4/24/22,"19,502","4,880","1,177","13,445",0.25,0.06,0.69,Biden
4/11/22,"18,846","4,629","1,082","13,135",0.25,0.06,0.70,Biden
3/27/22,"20,733","4,621","1,079","15,033",0.22,0.05,0.73,Biden
3/13/22,"20,146","4,692","1,049","14,405",0.23,0.05,0.72,Biden
2/27/22,"17,984","4,666",982,"12,336",0.26,0.05,0.69,Biden
2/13/22,"19,948","4,727",999,"14,222",0.24,0.05,0.71,Biden
1/16/22,"20,886","4,534",850,"15,502",0.22,0.04,0.74,Biden
1/2/22,"22,068","4,471",860,"16,737",0.20,0.04,0.76,Biden
12/19/21,"20,623","4,436",795,"15,392",0.22,0.04,0.75,Biden
12/5/21,"21,952","4,559",931,"16,462",0.21,0.04,0.75,Biden
11/21/21,"22,438","4,466",852,"17,120",0.20,0.04,0.76,Biden
10/1/21,"22,129","4,537",852,"16,740",0.21,0.04,0.76,Biden
9/16/21,"21,566","4,553",771,"16,242",0.21,0.04,0.75,Biden
9/13/21,"23,014","4,443",808,"17,763",0.19,0.04,0.77,Biden
8/24/21,"25,162","4,495",835,"19,832",0.18,0.03,0.79,Biden
8/6/21,"25,526","4,502",971,"20,053",0.18,0.04,0.79,Biden
7/22/21,"26,771","4,439","1,078","21,254",0.17,0.04,0.79,Biden
7/8/21,"27,217","4,433","1,117","21,667",0.16,0.04,0.80,Biden
6/24/21,"26,222","4,399","1,100","20,723",0.17,0.04,0.79,Biden
6/11/21,"24,463","4,338","1,037","19,088",0.18,0.04,0.78,Biden
5/28/21,"21,519","4,382",971,"16,166",0.20,0.05,0.75,Biden
5/13/21,"19,041","4,490",686,"13,865",0.24,0.04,0.73,Biden
5/3/21,"15,697","4,524",696,"10,477",0.29,0.04,0.67,Biden
4/14/21,"15,136","4,765",826,"9,545",0.31,0.05,0.63,Biden
3/31/21,"13,914","5,177",919,"7,818",0.37,0.07,0.56,Biden
3/17/21,"14,052","5,857","1,252","6,943",0.42,0.09,0.49,Biden
2/25/21,"13,258","6,746","1,890","4,622",0.51,0.14,0.35,Biden
2/11/21,"14,095","7,362","2,306","4,427",0.52,0.16,0.31,Biden
1/22/21,"14,195","7,598","2,544","4,053",0.54,0.18,0.29,Biden
1/7/21,"15,444","8,189","2,864","4,391",0.53,0.19,0.28,Trump1
12/30/20,"15,350","8,272","2,810","4,268",0.54,0.18,0.28,Trump1
12/10/20,"15,772","8,448","2,948","4,376",0.54,0.19,0.28,Trump1
11/26/20,"16,075","8,632","2,966","4,477",0.54,0.18,0.28,Trump1
11/14/20,"16,634","8,931","2,974","4,729",0.54,0.18,0.28,Trump1
9/18/20,"20,018","10,773","3,351","5,894",0.54,0.17,0.29,Trump1
9/4/20,"20,489","11,149","3,236","6,104",0.54,0.16,0.30,Trump1
8/21/20,"21,007","11,372","3,187","6,448",0.54,0.15,0.31,Trump1
8/8/20,"21,118","11,321","3,113","6,684",0.54,0.15,0.32,Trump1
8/1/20,"21,546","11,450","3,082","7,014",0.53,0.14,0.33,Trump1
7/25/20,"21,884","11,510","3,114","7,260",0.53,0.14,0.33,Trump1
7/18/20,"22,142","11,391","3,085","7,666",0.51,0.14,0.35,Trump1
7/11/20,"22,340","11,492","3,071","7,777",0.51,0.14,0.35,Trump1
7/4/20,"22,579","11,592","3,031","7,956",0.51,0.13,0.35,Trump1
6/27/20,"22,805","11,632","3,096","8,077",0.51,0.14,0.35,Trump1
6/20/20,"23,429","11,777","3,160","8,492",0.50,0.13,0.36,Trump1
6/13/20,"24,041","11,986","3,244","8,811",0.50,0.13,0.37,Trump1
6/6/20,"24,713","12,130","3,306","9,277",0.49,0.13,0.38,Trump1
5/30/20,"25,421","12,279","3,373","9,769",0.48,0.13,0.38,Trump1
5/23/20,"25,911","12,435","3,408","10,068",0.48,0.13,0.39,Trump1
5/16/20,"26,660","12,599","3,454","10,607",0.47,0.13,0.40,Trump1
5/9/20,"27,908","13,068","3,639","11,201",0.47,0.13,0.40,Trump1
5/2/20,"28,865","13,183","3,779","11,903",0.46,0.13,0.41,Trump1
4/25/20,"29,675","13,218","3,897","12,560",0.45,0.13,0.42,Trump1
4/18/20,"30,737","13,380","4,070","13,287",0.44,0.13,0.43,Trump1
4/11/20,"32,309","13,774","4,406","14,129",0.43,0.14,0.44,Trump1
3/21/20,"38,058","14,782","5,264","18,012",0.39,0.14,0.47,Trump1
2/29/20,"38,537","14,469","5,229","18,839",0.38,0.14,0.49,Trump1
2/8/20,"39,422","14,464","5,184","19,774",0.37,0.13,0.50,Trump1
1/4/20,"41,631","14,371","5,173","22,087",0.35,0.12,0.53,Trump1
12/21/19,"41,933","14,295","4,993","22,645",0.34,0.12,0.54,Trump1
11/30/19,"44,860","14,639","5,135","25,086",0.33,0.11,0.56,Trump1
10/26/19,"49,419","15,594","5,203","28,622",0.32,0.11,0.58,Trump1
9/30/19,"50,922","16,120","5,359","29,443",0.32,0.11,0.58,Trump1
9/21/19,"51,302","15,695","5,341","30,266",0.31,0.10,0.59,Trump1
8/31/19,"52,930","16,197","5,315","31,418",0.31,0.10,0.59,Trump1
8/3/19,"55,654","16,676","5,493","33,485",0.30,0.10,0.60,Trump1
6/1/19,"52,465","17,225","5,573","29,667",0.33,0.11,0.57,Trump1
5/4/19,"49,645","17,537","5,686","26,422",0.35,0.11,0.53,Trump1