Trump,Biden,Swift,Kelce,Undoc_est ,gender,white,black,aina,asian,nhpi,latino,mena,other,pol51,pol176
0,0,21,40,10,4,,,,1,,,,,1,
0,0,0,,0,1,,,,,,,1,,1,
5,10,20,35,15,2,1,1,,,,,,,1,
3,61,89,72,0,1,1,,,,,,,,1,
0,48,100,50,70,2,,,,,,1,,,1,
2,39,68,49,0,1,,,,,,1,,,1,
0,54,10,91,20,1,,,,,,1,,,1,
30,0,100,70,0,2,,,,,,1,,,1,
75,20,45,50,27,2,,,,1,,,,,1,
25,37,50,35,18,2,1,,,,,,,,,1
0,10,66,50,10,1,,,,1,,,,,1,
5,,,,30,1,1,,,,,1,,,1,
7,32,26,8,85,1,,,,,,1,,,1,
5,,85,,12,1,1,,,,,,,,1,
7,68,89,50,5,1,,,,1,,,,,1,
0,80,20,0,0,1,1,,,,,1,,,1,
85,0,0,10,60,1,1,,,,,,,,,1
75,0,10,10,45,1,,,,1,,,,,,1
5,50,55,40,30,2,,,,,1,,,,1,
0,80,0,50,2,1,,,,,,1,,,,1
50,27,0,0,20,1,1,,,,,,,,,1
0,50,95,80,12,1,,,,,,1,,,1,
50,,100,100,0,2,,,,,,1,,,1,
0,50,20,20,10,1,1,,,,,,,,1,
0,60,40,55,15,1,1,,,,,,,,1,1
0,80,60,80,0,2,,,,,,1,,,1,1
0,60,70,71,10,1,1,,,,,1,,,,1
0,16,5,,5,2,,,,,,1,,,1,
22,92,70,21,10,2,,,,1,,,,,1,
10,60,30,30,20,1,,,,,,1,,,1,
0,70,60,60,0,1,1,,,,,,,,1,
25,65,80,80,10,1,,,,1,,,,,1,
0,80,46,47,20,2,,,,,,1,,,1,
0,70,50,50,10,2,,1,,,,,,,1,
10,30,,,10,2,,,,,,1,,,1,
0,31,42,41,20,1,,,,1,,,,,,1
63,64,28,28,33,1,,,,,,1,,,1,
70,0,7,0,20,1,1,,,,1,,,,1,
45,35,40,40,5,2,1,,,,,,,,,1
0,40,,,9,2,1,,,,,1,,,1,
10,70,100,30,0,2,,,,1,,,,,1,
0,0,0,0,5,1,,,,,,,1,,1,
0,72,90,60,10,1,,,,1,,,,,1,
0,0,62,40,0,1,1,,,,,,,,,1
0,30,100,80,8,1,,,,,,1,,,,1
0,70,40,50,13,1,,1,,,,,,,1,
10,30,40,50,1,1,,,,,,,1,,1,
4,85,41,27,8,2,1,,,,,,,,1,
5,,24,35,30,2,1,,,1,,,,,1,
5,38,81,49,40,1,1,,,,,1,,,1,
0,0,,,0,2,1,,,,,,,,,1
14,92,50,16,0,1,,,,,,1,,,1,
60,30,20,50,70,2,,,,1,,,,,1,
0,67,27,59,0,1,1,1,,,,,,,1,
0,71,,50,5,1,1,,,,,,,,1,
0,15,30,30,15,2,1,,,,,,,,1,
0,100,66,62,35,1,,,,,,1,,,1,
30,30,55,45,7,2,,,,1,,,,,1,
18,46,60,38,0,1,,,,1,,,,,1,
0,0,0,100,0,1,,1,,1,,,,,,1
30,30,40,45,20,2,,,,1,,,,,1,
25,20,50,45,15,1,,,,,,1,,,1,
0,90,80,50,30,2,,,,1,,1,,,1,
0,0,100,60,1,1,,,,,,1,,,1,
0,60,,30,10,2,,,,,,1,,,1,
0,0,0,10,10,1,1,,,,,,,,1,
60,40,40,10,3,2,,,,1,,,,,1,
0,74,100,90,14,1,,,,,,1,,,,1
1,62,6,6,25,1,1,,,,,,1,,1,
0,0,28,,0,1,,,,,,1,,,1,
11,93,59,50,3,2,,,,1,,,,,1,
11,92,57,50,3,2,,,,1,,,,,1,
0,70,85,60,55,1,,,,,,1,,,1,
5,37,58,49,10,2,1,,,,,,,,1,
,,,,8,4,,,,,,,,1,,
17,45,42,44,15,1,1,,,,,,,,1,
0,37,0,0,52,1,,,,,,1,,,1,
0,70,40,0,35,1,,,,,,1,,,,1
0,64,68,20,45,1,,,,1,,,,,1,1
,,80,,80,2,,,,1,,,,,1,
5,30,25,,30,2,,,,1,,,,,1,
100,100,0,0,1,2,1,,,1,,,1,,1,
0,0,20,0,15,1,1,,,,,1,,,1,
5,6,78,6,25,1,,,,,,1,,,1,
60,60,80,50,30,1,,,,,,1,,,,1
0,73,66,63,5,3,,,,1,,,,,1,
65,0,0,0,20,2,,,,1,,,,,1,
86,10,0,,10,1,1,,,1,,,,,,1
0,40,40,70,5,2,1,,,,,,,,1,
0,37,25,25,20,2,1,,,1,,,,,1,
0,73,84,68,25,1,,,,1,,,,,,1
0,45,95,69,40,1,1,,1,,,,,,1,
21,1,1,0,40,1,1,,,,,,,,1,
0,78,28,55,12,1,1,,,,,,,,,1
40,30,50,50,7,2,,,,1,,,,,1,
10,60,30,30,20,2,1,,,1,1,,,,1,
4,3,17,36,0,1,,,,1,,,1,,,1
100,0,100,100,10,2,1,,1,,,,,,,1
40,36,11,55,20,2,,,,,,1,,,1,
5,5,5,10,0,1,,,,1,,,,,1,
9,60,54,34,40,1,,,,,,1,,,1,
5,68,84,81,10,1,,1,,,,1,,,,1
27,18,68,88,0,2,,1,,,,,,,,1
0,77,100,52,40,1,,,,,,1,,,1,
0,80,,,45,1,,,,,,1,,,,1