year20,male,female,undetermined,,,,,,,,,,
2000,0.76,0.24,0,,,,,,,,,,
2001,0.7468354,0.2405063,0.0126582,,,,,,,,,,
2002,0.7615894,0.2384106,0,,,,,,,,,,
2003,0.7987805,0.2012195,0,,,,,,,,,,
2004,0.8064516,0.188172,0.0053763,,,,,,,,,,
2005,0.8069307,0.1930693,0,,,,,,,,,,
2006,0.8218391,0.1781609,0,,,,,,,,,,
2007,0.7737557,0.2262443,0,,,,,,,,,,
2008,0.8012048,0.1987952,0,,,,,,,,,,
2009,0.8477157,0.1370558,0.0152284,,,,,,,,,,
2010,0.8705357,0.1294643,0,,,,,,,,,,
2011,0.8736264,0.1153846,0.010989,,,,,,,,,,
2012,0.8650307,0.1226994,0.0122699,,,,,,,,,,
2013,0.9021739,0.0978261,0,,,,,,,,,,
2014,0.9071429,0.0785714,0.0142857,,,,,,,,,,
2015,0.8843537,0.0816327,0.0340136,,,,,,,,,,
2016,0.9268293,0.0609756,0.0121951,,,,,,,,,,
2017,0.9758065,0.0241935,0,,,,,,,,,,
2018,0.8984375,0.09375,0.0078125,,,,,,,,,,
2019,0.8819444,0.0833333,0.0347222,,,,,,,,,,
2020,0.8161435,0.0807175,0.103139,,,,,,,,,,
2021,0.76,0.1333333,0.1066667,,,,,,,,,,
2022,0.7745665,0.132948,0.0924855,,,,,,,,,,
2023,0.7055838,0.1928934,0.1015228,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,