year,month,obs,yearmonth,remainsmonth,avg_temp,number_dead,,,,
2020,1,1,202001,19,52.225,4,,,,
2020,2,1,202002,21,54.58621,1,,,,
2020,3,1,202003,12,60.74194,2,,,,
2020,4,1,202004,12,70.38333,1,,,,
2020,5,1,202005,12,81.82903,2,,,,
2020,6,1,202006,12,87.89667,4,,,,
2020,7,1,202007,25,91.5,13,,,,
2020,8,1,202008,24,91.44412,14,,,,
2020,9,1,202009,35,86.31515,10,,,,
2020,10,1,202010,16,76.08437,7,,,,
2020,11,1,202011,13,63.68621,1,,,,
2020,12,1,202012,12,53.26774,1,,,,
2021,1,1,202101,16,52.925,5,,,,
2021,2,1,202102,14,57.73357,1,,,,
2021,3,1,202103,19,61.06129,3,,,,
2021,4,1,202104,13,72.914,4,,,,
2021,5,1,202105,18,79.85677,9,,,,
2021,6,1,202106,44,90.74,29,,,,
2021,7,1,202107,19,84.73,4,,,,
2021,8,1,202108,16,84.68485,6,,,,
2021,9,1,202109,25,82.30312,11,,,,
2021,10,1,202110,11,70.75484,5,,,,
2021,11,1,202111,15,65.34839,3,,,,
2021,12,1,202112,5,55.9129,0,,,,
2022,1,1,202201,15,53.1871,1,,,,
2022,2,1,202202,10,54.09286,3,,,,
2022,3,1,202203,18,62.03125,6,,,,
2022,4,1,202204,12,72.88323,8,,,,
2022,5,1,202205,13,80.72194,5,,,,
2022,6,1,202206,27,89.32437,12,,,,
2022,7,1,202207,30,89.43543,11,,,,
2022,8,1,202208,10,84.74,5,,,,
2022,9,1,202209,13,83.816,3,,,,
2022,10,1,202210,6,70.96129,1,,,,
2022,11,1,202211,11,57.218,1,,,,
2022,12,1,202212,6,52.63032,1,,,,
2023,1,1,202301,5,50.74194,2,,,,
2023,2,1,202302,15,53.6129,8,,,,
2023,3,1,202303,15,59.10323,4,,,,
2023,4,1,202304,9,71.20645,2,,,,
2023,5,1,202305,9,78.35484,2,,,,
2023,6,1,202306,13,85.89677,6,,,,
2023,7,1,202307,42,93.93421,25,,,,
2023,8,1,202308,25,88.88182,13,,,,
2023,9,1,202309,27,85.15357,11,,,,
2023,10,1,202310,14,76.32903,6,,,,
2023,11,1,202311,14,64.38667,4,,,,
2023,12,1,202312,9,55.32581,2,,,,
2024,1,1,202401,10,51.62581,1,,,,
2024,2,1,202402,18,56.33448,4,,,,
2024,3,1,202403,3,59.55806,1,,,,
2024,4,1,202404,8,68.06667,4,,,,
2024,5,1,202405,3,78.47419,2,,,,
2024,6,1,202406,15,89.75625,10,,,,
2024,7,1,202407,36,90.83429,18,,,,
2024,8,1,202408,15,88.34545,11,,,,
2024,9,1,202409,15,87.044,5,,,,
2024,10,1,202410,8,78.14387,3,,,,
2024,11,1,202411,11,58.394,0,,,,
2024,12,1,202412,13,58.01871,2,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,