Date,VG,SG,SB,B,NO,Group,Year
2021 Jun 1-Jul 5,8,34,34,23,1,All,2021
2020 Jun 8-Jul 24,7,37,31,24,1,All,2020
2018 Nov 19-Dec 22,10,41,30,17,1,All,2018
2016 Jun 7-Jul 1,7,46,32,14,1,All,2016
2015 Jun 15-Jul 10,9,38,36,17,1,All,2015
2013 Jun 13-Jul 5,13,57,23,7,1,All,2013
2008 Jun 5-Jul 6,10,58,23,7,2,All,2008
2007 Jun 4-24,10,61,24,4,1,All,2007
2006 Jun 8-25,9,55,25,9,2,All,2006
2005 Jun 6-25,11,57,23,6,3,All,2005
2004 Jun 9-30,13,59,20,6,2,All,2004
2003 Jun 12-18,10,58,24,6,2,All,2003
2002 Jun 3-9,8,61,23,5,3,All,2002
2001 Jun 11-17,6,57,28,7,2,All,2001
2021 Jun 1-Jul 5,8,35,35,21,1,White,2021
2020 Jun 8-Jul 24,8,38,33,21,1,White,2020
2018 Nov 19-Dec 22,11,43,31,14,1,White,2018
2016 Jun 7-Jul 1,7,48,32,12,1,White,2016
2015 Jun 15-Jul 10,8,37,40,14,1,White,2015
2013 Jun 13-Jul 5,14,58,22,5,1,White,2013
2008 Jun 5-Jul 6,11,59,23,6,1,White,2008
2007 Jun 4-24,11,64,23,2,1,White,2007
2006 Jun 8-25,10,57,26,6,2,White,2006
2005 Jun 6-25,11,61,22,5,1,White,2005
2004 Jun 9-30,13,61,20,5,1,White,2004
2003 Jun 12-15,10,59,25,5,1,White,2003
2002 Jun 3-6,7,63,24,3,3,White,2002
2001 Jun 11-17,6,56,30,6,2,White,2001
2021 Jun 1-Jul 5,4,29,35,31,1,Black,2021
2020 Jun 8-Jul 24,4,32,29,34,1,Black,2020
2018 Nov 19-Dec 22,5,35,29,30,1,Black,2018
2016 Jun 7-Jul 1,7,42,29,21,1,Black,2016
2015 Jun 15-Jul 10,10,41,24,24,1,Black,2015
2013 Jun 13-Jul 5,8,58,24,9,1,Black,2013
2008 Jun 5-Jul 6,7,54,23,14,1,Black,2008
2007 Jun 4-24,7,48,31,12,2,Black,2007
2006 Jun 8-25,7,55,22,14,2,Black,2006
2005 Jun 6-25,10,55,20,13,2,Black,2005
2004 Jun 9-30,12,56,21,8,3,Black,2004
2003 Jun 12-18,9,50,26,13,2,Black,2003
2002 Jun 3-9,9,59,18,13,1,Black,2002
2001 Jun 11-17,8,62,17,11,2,Black,2001
2021 Jun 1-Jul 5,9,36,37,19,1,Hispanic,2021
2018 Nov 19-Dec 22,11,41,27,20,1,Hispanic,2018
2016 Jun 7-Jul 1,9,44,29,16,2,Hispanic,2016
2015 Jun 15-Jul 10,10,37,32,20,1,Hispanic,2015
2013 Jun 13-Jul 5,12,52,28,8,1,Hispanic,2013
2008 Jun 5-Jul 6,7,50,27,10,6,Hispanic,2008
2007 Jun 4-24,9,50,25,10,6,Hispanic,2007
2006 Jun 8-25,10,48,24,14,5,Hispanic,2006
2005 Jun 6-25,11,47,27,11,4,Hispanic,2005
2004 Jun 9-30,12,49,21,10,8,Hispanic,2004
2003 Jun 12-18,11,57,19,9,4,Hispanic,2003
2002 Jun 3-9,9,53,25,9,4,Hispanic,2002
2001 Jun 11-17,8,57,18,14,3,Hispanic,2001