Year,All,None,Level1,Level2,Level3,Assault,Homocide,DrugTrafficking,TrafficOffense,IllegalEntry,IllegalReentry,DUI
2003,159331,74974,45574,8087,30696,6018,579,280,1035,7331,168,3413
2004,177427,84362,48163,9092,35810,6838,577,271,1133,9550,196,3539
2005,183263,92306,47287,8970,34700,6524,615,277,873,9882,206,3199
2006,211925,115196,46728,9275,40726,6547,603,308,1053,11009,236,3836
2007,300140,188043,52126,11162,48809,8142,617,371,2551,14037,338,6796
2008,385711,253342,57350,13429,61590,10376,606,487,5134,14506,497,11088
2009,401501,238903,65252,16713,80633,13015,612,527,5134,15890,821,16399
2010,383847,182618,74544,19693,106992,16207,647,556,12131,26043,1066,22295
2011,391166,170206,75590,21284,124086,15234,648,832,17146,31108,2090,27747
2012,407821,175988,72146,29436,130251,13208,667,3365,16572,42004,9463,26557
2013,368809,150530,66382,27904,123993,11893,625,4336,12282,50515,10175,22304
2014,319266,139510,56542,23933,99281,9653,636,3963,8915,41857,9708,17005
2015,235551,95360,46525,19769,73897,7303,627,3700,4854,33250,9720,13364
2016,240074,102288,44473,19638,73675,6586,616,4090,4127,33880,9991,14274
2017,220649,79271,50683,21169,69526,8210,850,4445,5446,26043,9611,13356
2018,249532,88902,49766,22437,88427,8879,832,3907,8433,36665,9780,13356
2019,262591,114579,37532,20616,89864,6196,626,3195,6573,48969,11246,13644
2020,156158,73840,22930,14540,44848,3737,394,2151,3480,21977,8875,7681